parliament constituency,winning candidate,total votes,Margin
Begusarai(24),GIRIRAJ SINGH,649331,81480
Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846
Nawada(39),VIVEK THAKUR,410608,67670
North Goa(1),SHRIPAD YESSO NAIK,257326,116015
Kachchh(1),CHAVDA VINOD LAKHAMSHI,659574,268782
Patan(3),DABHI  BHARATSINHJI  SHANKARJI,591947,31876
Mahesana(4),HARIBHAI PATEL,686406,328046
Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682
Gandhinagar(6),AMIT SHAH,1010972,744716
Banaskantha(2),GENIBEN NAGAJI THAKOR,671883,30406
AMBALA(1),VARUN CHAUDHRY,663657,49036
SIRSA(3),SELJA,733823,268497
HISAR(4),JAI PARKASH (J P) S/O HARIKESH,570424,63381
SONIPAT(6),SATPAL BRAHAMCHARI,548682,21816
ROHTAK(7),DEEPENDER SINGH HOODA,783578,345298
Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834
Gulbarga(5),RADHAKRISHNA,652321,27205
Raichur(6),G. KUMAR NAIK.,670966,79781
Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875
Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357
Bellary(9),E. TUKARAM,730845,98992
Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094
Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704,286437
Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617
Rajkot(10),PARSHOTTAMBHAI RUPALA,857984,484260
Porbandar(11),DR. MANSUKH MANDAVIYA,633118,383360
Jamnagar(12),POONAMBEN HEMATBHAI MAADAM,620049,238008
Junagadh(13),CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494
Amreli(14),BHARATBHAI MANUBHAI SUTARIYA,580872,321068
Bhavnagar(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289
Anand(16),MITESH PATEL (BAKABHAI),612484,89939
Kheda(17),DEVUSINH CHAUHAN,744435,357758
Panchmahal(18),RAJPALSINH MAHENDRASINH JADAV,794579,509342
SRINAGAR(2),AGA SYED RUHULLAH MEHDI,356866,188416
ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,521836,281794
Hassan(16),SHREYAS. M. PATEL,672988,42649
Chamarajanagar(22),SUNIL BOSE,751671,188706
Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649
Kannur(2),K. SUDHAKARAN,518524,108982
Vadakara(3),SHAFI PARAMBIL,557528,114506
Wayanad(4),RAHUL GANDHI,647445,364422
Kozhikode(5),M. K. RAGHAVAN,520421,146176
Palakkad(8),V K SREEKANDAN,421169,75283
Chalakudy(11),BENNY BEHANAN,394171,63754
